strain,date,clade_membership,country,region,url,author,accession
DENV_1/US/BID_V2128/1995,1995-01-01 (1995-01-01 - 1995-05-13),DENV1/V,Usa,North America,,Henn et al E,FJ410180
DENV_1/US/BID_V2095/1994,1994-12-31 (1994-02-21 - 1994-12-31),DENV1/V,Usa,North America,,Henn et al E,FJ410175
DENV_1/US/BID_V2094/1995,1995-12-31 (1995-02-17 - 1995-12-31),DENV1/V,Usa,North America,,Henn et al E,FJ410174
DENV_1/US/BID_V2131/1996,1996-01-01 (1996-01-01 - 1996-05-16),DENV1/V,Usa,North America,,Henn et al E,FJ410182
DENV_1/US/BID_V2140/1996,1996-01-01 (1996-01-01 - 1996-11-25),DENV1/V,Usa,North America,,Henn et al E,FJ410189
DENV_1/US/BID_V2142/1987,1987-12-31 (1987-02-06 - 1987-12-31),DENV1/V,Usa,North America,,Henn et al D,FJ478458
DENV_1/US/BID_V2127/1994,1994-01-01 (1994-01-01 - 1994-07-27),DENV1/V,Usa,North America,,Henn et al E,FJ410179
DENV_1/US/BID_V1741/1998,1998-01-01 (1998-01-01 - 1998-09-07),DENV1/V,Usa,North America,,Henn et al J,FJ390379
DENV_1/US/BID_V1734/1995,1995-01-01 (1995-01-01 - 1995-11-25),DENV1/V,Usa,North America,,Henn et al J,FJ390374
DENV_1/US/BID_V2137/1992,1992-12-31 (1992-10-11 - 1992-12-31),DENV1/V,Usa,North America,,Henn et al E,FJ410187
DENV_1/US/BID_V1740/1998,1998-01-01 (1998-01-01 - 1998-11-07),DENV1/V,Usa,North America,,Henn et al H,FJ205873
DENV_1/US/BID_V2093/1998,1998-01-01 (1998-01-01 - 1998-10-22),DENV1/V,Usa,North America,,Henn et al E,FJ410173
DENV_1/US/BID_V1742/1998,1998-12-31 (1998-03-07 - 1998-12-31),DENV1/V,Usa,North America,,Henn et al J,FJ390380
DENV_1/PR/BID_V1051/1998,1998-12-31 (1998-05-16 - 1998-12-31),DENV1/V,Puerto Rico,North America,,Zody et al A,KF955437
DENV_1/US/BID_V853/1998,1998-01-01 (1998-01-01 - 1998-08-28),DENV1/V,Usa,North America,,Henn et al I,EU482592
DENV_1/US/BID_V1739/1998,1998-11-19 (1998-01-01 - 1998-12-31),DENV1/V,Usa,North America,,Henn et al H,FJ205872
DENV_1/US/BID_V1738/1998,1998-01-01 (1998-01-01 - 1998-10-05),DENV1/V,Usa,North America,,Henn et al J,FJ390378
38159/BR/RJ/1989,1989-06-17 (1989-01-01 - 1989-12-31),DENV1/V,Brazil,South America,,Nogueira et al,KF672762
36034/BR/RJ/1988,1988-01-01 (1988-01-01 - 1988-11-10),DENV1/V,Brazil,South America,,Nogueira et al,KF672761
41111/BR_PE/97,1997-01-01 (1997-01-01 - 1997-10-06),DENV1/V,Brazil,South America,,Silva et al,JX669469
68826/BR/RJ/2001,2001-01-10 (2001-01-01 - 2001-12-31),DENV1/V,Brazil,South America,,Nogueira et al,KF672764
88463/BR_PE/02,2002-01-01 (2002-01-01 - 2002-11-07),DENV1/V,Brazil,South America,,Silva et al,JX669475
59049/BR_PE/99,1999-01-01 (1999-01-01 - 1999-10-09),DENV1/V,Brazil,South America,,Silva et al,JX669471
52082/BR_PE/98,1998-10-09 (1998-01-01 - 1998-12-31),DENV1/V,Brazil,South America,,Silva et al,JX669470
66694/BR/ES/2000,2000-01-01 (2000-01-01 - 2000-09-19),DENV1/V,Brazil,South America,,Nogueira et al,KF672763
DENV_1/BR/BID_V2378/2001,2001-12-31 (2001-07-29 - 2001-12-31),DENV1/V,Brazil,South America,,Henn et al A,FJ850073
SB_01057805_DF02_,2001-12-31 (2001-02-18 - 2001-12-31),DENV1/V,Brazil,South America,,Nagata et al,AB519681
21814/BR_PE/96,1996-01-01 (1996-01-01 - 1996-08-02),DENV1/V,Brazil,South America,,Silva et al,JX669467
40604/BR_PE/97,1997-12-31 (1997-06-20 - 1997-12-31),DENV1/V,Brazil,South America,,Silva et al,JX669468
70523/BR_PE/00,2000-02-24 (2000-01-01 - 2000-12-31),DENV1/V,Brazil,South America,,Silva et al,JX669472
74488/BR_PE/01,2001-01-01 (2001-01-01 - 2001-11-01),DENV1/V,Brazil,South America,,Silva et al,JX669473
75861/BR_PE/01,2001-12-31 (2001-02-08 - 2001-12-31),DENV1/V,Brazil,South America,,Silva et al,JX669474
DENV_1/VE/BID_V2169/1998,1998-01-01 (1998-01-01 - 1998-10-16),DENV1/V,Venezuela,South America,,Henn et al K,FJ639741
DENV_1/VE/BID_V3545/1998,1998-12-31 (1998-03-17 - 1998-12-31),DENV1/V,Venezuela,South America,,Henn et al L,GU056033
DENV_1/VE/BID_V3552/2004,2004-01-01 (2004-01-01 - 2004-10-09),DENV1/V,Venezuela,South America,,Henn et al B,GU131835
DENV_1/VE/BID_V3549/2000,2000-12-31 (2000-04-23 - 2000-12-31),DENV1/V,Venezuela,South America,,Henn et al B,GU131833
DENV_1/VE/BID_V3553/2004,2004-01-01 (2004-01-01 - 2004-11-15),DENV1/V,Venezuela,South America,,Henn et al B,GU131836
DENV_1/VE/BID_V2162/1997,1997-12-31 (1997-07-11 - 1997-12-31),DENV1/V,Venezuela,South America,,Henn et al K,FJ639735
DENV_1/VE/BID_V3561/2006,2006-01-01 (2006-01-01 - 2006-11-25),DENV1/V,Venezuela,South America,,Henn et al C,JN819415
VE_61081_2007,2007-01-01 (2007-01-01 - 2007-09-01),DENV1/V,Venezuela,South America,,Rodriguez-Roche et al (https://www.ncbi.nlm.nih.gov/pubmed/22197765),HQ332183
VE_61006_2006,2006-12-31 (2006-03-29 - 2006-12-31),DENV1/V,Venezuela,South America,,Rodriguez-Roche et al (https://www.ncbi.nlm.nih.gov/pubmed/22197765),HQ332182
DENV_1/MX/InDRE_36C/2014,2014-02-16 (2014-01-01 - 2014-12-31),DENV1/V,Mexico,North America,,?,KY347013
DENV_1/MX/InDRE_35B/2014,2014-02-16 (2014-01-01 - 2014-12-31),DENV1/V,Mexico,North America,,Gonzalez-Duran et al (https://www.ncbi.nlm.nih.gov/pubmed/29426993),KY347011
Toulon_CNR_25329/2014,8/7/2014,DENV1/V,France,Europe,,Baronti et al,MF004384
Vero,10/7/2019,DENV1/V,Mexico,North America,,?,MT929160
DENV_1/MX/BID_V7625/2011,2011-12-11 (2011-01-01 - 2011-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189349
DENV_1/MX/BID_V7624/2011,2011-09-08 (2011-01-01 - 2011-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189348
DENV_1/NI/BID_V5504/2009,2009-12-31 (2009-04-20 - 2009-12-31),DENV1/V,Nicaragua,North America,,Henn et al M,JF937635
DENV_1/NI/BID_V7676/2012,2012-01-01 (2012-01-01 - 2012-10-02),DENV1/V,Nicaragua,North America,,Zody et al C,KF973463
DENV_1/NI/BID_V7696/2012,2012-05-12 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973475
DENV_1/NI/BID_V7691/2012,2012-12-31 (2012-04-22 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973473
DENV_1/NI/BID_V7680/2012,2012-09-15 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973466
DENV_1/NI/BID_V7681/2012,2012-03-22 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973467
DENV_1/NI/BID_V2652/2008,2008-03-03 (2008-01-01 - 2008-12-31),DENV1/V,Nicaragua,North America,,?,GQ199859
DENV_1/NI/BID_V7672/2011,2011-04-14 (2011-01-01 - 2011-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973460
DENV_1/NI/BID_V7690/2012,2012-05-24 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973472
DENV_1/NI/BID_V7692/2012,2012-01-06 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973474
DENV_1/NI/BID_V7650/2012,2012-07-18 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973455
DENV_1/NI/BID_V7655/2012,2012-02-16 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973458
DENV_1/NI/BID_V7644/2012,2012-12-31 (2012-06-13 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973454
DENV_1/NI/BID_V7651/2012,2012-06-21 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973456
DENV_1/VE/BID_V3544/1998,1998-12-31 (1998-03-26 - 1998-12-31),DENV1/V,Venezuela,South America,,Henn et al L,GU056032
DENV_1/NI/BID_V2642/2004,2004-01-01 (2004-01-01 - 2004-07-22),DENV1/V,Nicaragua,North America,,?,GQ199867
DENV_1/NI/BID_V653/2004,2004-12-31 (2004-05-26 - 2004-12-31),DENV1/V,Nicaragua,North America,,Henn et al N,EU596501
DENV_1/NI/BID_V669/2004,2004-04-02 (2004-01-01 - 2004-12-31),DENV1/V,Nicaragua,North America,,?,GQ199875
DENV_1/NI/BID_V664/2004,2004-06-12 (2004-01-01 - 2004-12-31),DENV1/V,Nicaragua,North America,,?,GQ199873
DENV_1/NI/BID_V602/2005,2005-01-01 (2005-01-01 - 2005-10-05),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024483
DENV_1/NI/BID_V652/2005,2005-01-01 (2005-01-01 - 2005-10-31),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024482
DENV_1/BOL_KW010,2010-10-31 (2010-10-04 - 2010-10-31),DENV1/V,Usa,North America,,Shin et al (https://www.ncbi.nlm.nih.gov/pubmed/24098658),JQ675358
DENV_1/NI/BID_V746/2006,2006-10-04 (2006-01-01 - 2006-12-31),DENV1/V,Nicaragua,North America,,Henn et al C,JN819403
DENV_1/NI/BID_V2343/2006,2006-08-30 (2006-01-01 - 2006-12-31),DENV1/V,Nicaragua,North America,,Henn et al G,FJ562104
BLM/2016/MA_WGS16_006,4/27/2016,DENV1/V,Saint Barthelemy,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY829115
DENV_1/NI/BID_V2330/2008,2008-01-02 (2008-01-01 - 2008-12-31),DENV1/V,Nicaragua,North America,,Henn et al F,FJ547088
DENV_1/NI/BID_V2646/2008,2008-06-05 (2008-01-01 - 2008-12-31),DENV1/V,Nicaragua,North America,,?,GQ199858
DENV_1/NI/BID_V2645/2008,2008-08-05 (2008-01-01 - 2008-12-31),DENV1/V,Nicaragua,North America,,?,GQ199857
DENV_1/NI/BID_V7659/2011,2011-08-19 (2011-01-01 - 2011-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973459
DENV_1/NI/BID_V7675/2011,2011-12-31 (2011-04-30 - 2011-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973462
DENV_1/NI/BID_V7684/2012,2012-05-21 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973469
DENV_1/NI/BID_V7678/2012,2012-09-30 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973465
DENV_1/NI/BID_V7682/2012,2012-08-02 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973468
DENV_1/NI/BID_V7673/2012,2012-10-05 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973461
DENV_1/NI/BID_V7640/2011,2011-01-01 (2011-01-01 - 2011-08-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973453
DENV_1/NI/BID_V7685/2012,2012-02-21 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973470
DENV_1/NI/BID_V7677/2012,2012-03-05 (2012-01-01 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973464
DENV_1/NI/BID_V7654/2012,2012-01-01 (2012-01-01 - 2012-09-07),DENV1/V,Nicaragua,North America,,Zody et al C,KF973457
DENV_1/NI/BID_V7686/2012,2012-12-31 (2012-06-18 - 2012-12-31),DENV1/V,Nicaragua,North America,,Zody et al C,KF973471
DENV_1/NI/BID_V617/2004,2004-02-01 (2004-01-01 - 2004-12-31),DENV1/V,Nicaragua,North America,,?,GQ199872
DENV_1/MX/BID_V3756/2008,2008-11-20 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,?,GQ868536
DENV_1/MX/BID_V3659/2006,2006-01-01 (2006-01-01 - 2006-10-01),DENV1/V,Mexico,North America,,?,GQ868498
DENV_1/MX/BID_V7587/2007,2007-03-18 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189321
DENV_1/MX/BID_V3731/2007,2007-06-02 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,?,GQ868524
DENV_1/MX/BID_V3721/2007,2007-08-28 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,?,GQ868517
DENV_1/MX/BID_V7606/2008,2008-03-10 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189337
DENV_1/MX/BID_V7565/2008,2008-01-01 (2008-01-01 - 2008-08-11),DENV1/V,Mexico,North America,,Zody et al B,KJ189313
DENV_1/MX/BID_V3673/2007,2007-01-01 (2007-01-01 - 2007-07-11),DENV1/V,Mexico,North America,,Henn et al B,GU131964
DENV_1/MX/BID_V3760/2008,2008-01-01 (2008-01-01 - 2008-10-19),DENV1/V,Mexico,North America,,?,GQ868539
DENV_1/MX/BID_V3658/2006,2006-08-24 (2006-01-01 - 2006-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131958
DENV_1/MX/BID_V3674/2007,2007-12-31 (2007-04-07 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955419
DENV_1/MX/BID_V3676/2007,2007-12-06 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al A,KF955442
DENV_1/MX/BID_V3708/2007,2007-12-31 (2007-04-10 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955428
DENV_1/MX/BID_V7608/2008,2008-01-01 (2008-01-01 - 2008-06-19),DENV1/V,Mexico,North America,,Zody et al B,KJ189339
DENV_1/MX/BID_V3750/2008,2008-12-31 (2008-09-14 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955432
DENV_1/MX/BID_V3657/2006,2006-04-13 (2006-01-01 - 2006-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131957
DENV_1/MX/BID_V7607/2008,2008-07-06 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189338
DENV_1/MX/BID_V3754/2008,2008-12-31 (2008-04-26 - 2008-12-31),DENV1/V,Mexico,North America,,?,GQ868535
DENV_1/MX/BID_V7576/2007,2007-01-01 (2007-01-01 - 2007-05-13),DENV1/V,Mexico,North America,,Zody et al B,KJ189318
DENV_1/MX/BID_V3680/2007,2007-12-31 (2007-09-04 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al P,HM631855
DENV_1/MX/BID_V3681/2007,2007-02-16 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955422
DENV_1/MX/BID_V7600/2008,2008-08-10 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189333
DENV_1/MX/BID_V7599/2008,2008-05-12 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189332
DENV_1/MX/BID_V7612/2009,2009-12-31 (2009-07-07 - 2009-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189343
DENV_1/MX/BID_V3751/2008,2008-12-31 (2008-10-02 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955433
DENV_1/MX/BID_V7614/2009,2009-01-01 (2009-01-01 - 2009-07-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189345
DENV_1/MX/BID_V7598/2008,2008-03-24 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189331
DENV_1/NI/BID_V622/2005,2005-12-31 (2005-02-27 - 2005-12-31),DENV1/V,Nicaragua,North America,,Zody et al D,KF955403
DENV_1/NI/BID_V1070/2005,2005-12-31 (2005-03-15 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al I,EU482616
DENV_1/NI/BID_V635/2005,2005-03-28 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024484
DENV_1/NI/BID_V628/2005,2005-01-01 (2005-01-01 - 2005-05-13),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024423
DENV_1/NI/BID_V667/2005,2005-12-31 (2005-09-18 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al Q,FJ873814
DENV_1/NI/BID_V621/2005,2005-12-31 (2005-03-21 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al E,FJ410290
DENV_1/NI/BID_V1223/2007,2007-04-07 (2007-01-01 - 2007-12-31),DENV1/V,Nicaragua,North America,,?,FJ898433
DENV_1/MX/BID_V7594/2007,2007-12-31 (2007-04-10 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189328
DENV_1/MX/BID_V3664/2006,2006-01-01 (2006-01-01 - 2006-10-02),DENV1/V,Mexico,North America,,?,GQ868499
DENV_1/MX/BID_V7610/2009,2009-01-16 (2009-01-01 - 2009-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189341
DENV_1/MX/BID_V7611/2009,2009-07-30 (2009-01-01 - 2009-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189342
DENV_1/NI/BID_V5067/2009,2009-03-11 (2009-01-01 - 2009-12-31),DENV1/V,Nicaragua,North America,,Henn et al M,JF937644
DENV_1/NI/BID_V5068/2009,2009-10-07 (2009-01-01 - 2009-12-31),DENV1/V,Nicaragua,North America,,Henn et al R,JQ287666
DENV_1/NI/BID_V5071/2009,2009-03-11 (2009-01-01 - 2009-12-31),DENV1/V,Nicaragua,North America,,Henn et al M,JF937645
DENV_1/NI/BID_V519/2005,2005-07-10 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al S,FJ850114
DENV_1/NI/BID_V630/2005,2005-11-28 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al F,FJ547089
DENV_1/NI/BID_V1073/2005,2005-02-06 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al I,EU482619
DENV_1/NI/BID_V2643/2005,2005-08-31 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Zody et al D,KF955409
DENV_1/NI/BID_V656/2004,2004-12-31 (2004-07-12 - 2004-12-31),DENV1/V,Nicaragua,North America,,Henn et al T,FJ898437
DENV_1/NI/BID_V540/2005,2005-02-22 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al U,FJ432721
DENV_1/NI/BID_V1071/2005,2005-02-22 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al I,EU482617
DENV_1/NI/BID_V614/2005,2005-02-22 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al N,EU596502
DENV_1/NI/BID_V604/2005,2005-02-22 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024478
DENV_1/NI/BID_V642/2006,2006-12-31 (2006-06-12 - 2006-12-31),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024479
DENV_1/NI/BID_V1072/2005,2005-01-08 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al I,EU482618
DENV_1/NI/BID_V2342/2006,2006-01-01 (2006-01-01 - 2006-09-05),DENV1/V,Nicaragua,North America,,Henn et al F,FJ547068
DENV_1/NI/BID_V2341/2006,2006-12-10 (2006-01-01 - 2006-12-31),DENV1/V,Nicaragua,North America,,Henn et al V,FJ810419
DENV_1/NI/BID_V610/2005,2005-01-01 (2005-01-01 - 2005-08-19),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024481
DENV_1/NI/BID_V606/2005,2005-09-22 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al N,EU596504
DENV_1/NI/BID_V657/2005,2005-01-01 (2005-01-01 - 2005-09-06),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024480
DENV_1/NI/BID_V646/2005,2005-12-31 (2005-09-22 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al W,FJ182002
DENV_1/NI/BID_V641/2005,2005-03-09 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al N,EU596503
DENV_1/NI/BID_V650/2005,2005-08-17 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Zody et al D,KF955404
DENV_1/NI/BID_V536/2005,2005-05-09 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al S,FJ850113
DENV_1/NI/BID_V534/2005,2005-12-31 (2005-08-03 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al C,JN819402
DENV_1/NI/BID_V624/2005,2005-01-26 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al U,FJ432720
DENV_1/NI/BID_V1069/2005,2005-01-26 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al I,EU482615
DENV_1/NI/BID_V629/2005,2005-05-12 (2005-01-01 - 2005-12-31),DENV1/V,Nicaragua,North America,,Henn et al O,FJ024485
DENV_1/MX/BID_V3663/2006,2006-04-23 (2006-01-01 - 2006-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955417
DENV_1/MX/BID_V3662/2006,2006-04-28 (2006-01-01 - 2006-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955416
DENV_1/MX/BID_V3702/2007,2007-01-18 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955425
DENV_1/MX/BID_V3748/2008,2008-01-01 (2008-01-01 - 2008-10-08),DENV1/V,Mexico,North America,,Henn et al B,GU131983
DENV_1/MX/BID_V3675/2007,2007-12-31 (2007-07-19 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955420
DENV_1/MX/BID_V7563/2008,2008-07-01 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189312
DENV_1/MX/BID_V3757/2008,2008-01-01 (2008-01-01 - 2008-08-20),DENV1/V,Mexico,North America,,Henn et al X,HQ166037
DENV_1/MX/BID_V3723/2007,2007-06-30 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al Y,GQ868518
DENV_1/MX/BID_V3752/2008,2008-01-19 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Henn et al Y,GQ868533
DENV_1/MX/BID_V7615/2009,2009-12-31 (2009-04-20 - 2009-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189346
DENV_1/MX/BID_V7595/2007,2007-12-31 (2007-07-16 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189329
DENV_1/MX/BID_V3704/2007,2007-11-06 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955426
DENV_1/MX/BID_V3744/2008,2008-01-01 (2008-01-01 - 2008-11-04),DENV1/V,Mexico,North America,,?,GQ868529
DENV_1/MX/BID_V3655/2006,2006-08-11 (2006-01-01 - 2006-12-31),DENV1/V,Mexico,North America,,Zody et al D,KF955415
DENV_1/MX/BID_V3656/2006,2006-01-01 (2006-01-01 - 2006-06-29),DENV1/V,Mexico,North America,,Henn et al B,GU131956
DENV_1/MX/BID_V7592/2007,2007-12-31 (2007-05-01 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189326
DENV_1/MX/BID_V3726/2007,2007-12-31 (2007-03-26 - 2007-12-31),DENV1/V,Mexico,North America,,?,GQ868520
DENV_1/MX/BID_V3749/2008,2008-05-31 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Henn et al Y,GQ868532
DENV_1/MX/BID_V3697/2007,2007-02-03 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al Y,GQ868508
DENV_1/MX/BID_V3737/2007,2007-12-06 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131979
DENV_1/MX/BID_V3742/2007,2007-12-31 (2007-08-16 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131981
DENV_1/MX/BID_V3761/2008,2008-06-20 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131984
DENV_1/MX/BID_V3696/2007,2007-10-17 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,?,GQ868507
DENV_1/MX/BID_V3709/2007,2007-08-12 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,?,GQ868513
DENV_1/MX/BID_V7569/2009,2009-01-01 (2009-01-01 - 2009-08-29),DENV1/V,Mexico,North America,,Zody et al B,KJ189316
DENV_1/MX/BID_V3759/2008,2008-01-01 (2008-01-01 - 2008-07-19),DENV1/V,Mexico,North America,,?,GQ868538
DENV_1/MX/BID_V7567/2008,2008-05-05 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189314
DENV_1/MX/BID_V7302/2011,2011-12-31 (2011-03-28 - 2011-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189307
DENV_1/MX/BID_V8196/2011,2011-01-01 (2011-01-01 - 2011-09-23),DENV1/V,Mexico,North America,,Zody et al B,KJ189369
DENV_1/MX/InDRE_27B/2013,2013-01-01 (2013-01-01 - 2013-10-15),DENV1/V,Mexico,North America,,?,KY347007
DENV_1/MX/BID_V7298/2011,2011-01-01 (2011-01-01 - 2011-11-03),DENV1/V,Mexico,North America,,Zody et al B,KJ189306
DENV_1/MX/InDRE_33B/2014,2014-12-31 (2014-03-04 - 2014-12-31),DENV1/V,Mexico,North America,,?,KY347009
DENV_1/MX/BID_V8195/2012,2012-12-21 (2012-01-01 - 2012-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189368
DENV_1/MX/BID_V7619/2009,2009-08-10 (2009-01-01 - 2009-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189347
DENV_1/MX/BID_V3758/2008,2008-01-01 (2008-01-01 - 2008-07-20),DENV1/V,Mexico,North America,,?,GQ868537
DENV_1/MX/BID_V3746/2008,2008-01-01 (2008-01-01 - 2008-05-07),DENV1/V,Mexico,North America,,?,GQ868530
DENV_1/MX/BID_V7589/2007,2007-12-31 (2007-10-18 - 2007-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189323
DENV_1/MX/BID_V7605/2008,2008-02-22 (2008-01-01 - 2008-12-31),DENV1/V,Mexico,North America,,Zody et al B,KJ189336
DENV_1/MX/BID_V7609/2008,2008-01-01 (2008-01-01 - 2008-09-15),DENV1/V,Mexico,North America,,Zody et al B,KJ189340
DENV_1/MX/BID_V3669/2007,2007-12-31 (2007-07-09 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131962
DENV_1/MX/BID_V3741/2007,2007-02-26 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131980
DENV_1/MX/BID_V3688/2007,2007-12-31 (2007-10-06 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al B,GU131967
DENV_1/MX/BID_V3683/2007,2007-10-15 (2007-01-01 - 2007-12-31),DENV1/V,Mexico,North America,,Henn et al X,HQ166035
DENV_1/MX/BID_V3753/2008,2008-01-01 (2008-01-01 - 2008-09-27),DENV1/V,Mexico,North America,,?,GQ868534
