strain,date,url,clade_membership,country,region,age,age_range1,age_range2,age_range3,collab_country,date_added,symptom,author,accession
EV-D68/Homosapiens/USA/C2590/2000,2000-10-08,,,USA,North America,0.42,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255405
EV-D68/Homosapiens/USA/C3963/2000,2000-08-23,,,USA,North America,0.5,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255353
EV-D68/Homosapiens/USA/C6633/2000,2000-09-16,,,USA,North America,1,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.",KX433166
EV-D68/Homosapiens/USA/C6261/2000,2000-09-09,,,USA,North America,0.33,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255391
EV-D68/Homosapiens/USA/C3578/2000,2000-09-20,,,USA,North America,1,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255357
USA/TX/2003-23224,2003-05-22 (2003-01-01 - 2003-12-31),,,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240500
T106/FtJacksonSouthCarolinaUSA/2002,2002-11-30,,C,USA,North America,,,,,,7/15/2019,,"Hang,J., Vento,T.J., Norby,E.A., Jarman,R.G., Keiser,P.B., Kuschner,R.A. and Binn,L.N.",KX384960
USA/CA/2003-23235,2003-03-17 (2003-01-01 - 2003-12-31),,C,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240509
EV-D68/Homosapiens/USA/C2204/2003,2003-09-17,,C,USA,North America,4,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255410
EV-D68/Homosapiens/USA/C2386/2003,2003-09-02,,C,USA,North America,4,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255388
EV-D68/Homosapiens/USA/C3256/2003,2003-10-09,,C,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255400
EV-D68/Homosapiens/USA/C2206/2003,2003-11-03,,C,USA,North America,4,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255372
USA/MD/2003-23237,2003-12-31 (2003-09-20 - 2003-12-31),,C,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240511
USA/MD/2003-23226,2003-12-11 (2003-08-17 - 2003-12-31),,C,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240502
CAN05-120,2005-12-29 (2005-01-01 - 2005-12-31),,C,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455289
EV-D68/Homosapiens/USA/C3486/2005,2005-10-17,,C,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255393
EV-D68/Homosapiens/USA/U807/2007,2007-10-22,,C,USA,North America,0.67,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255397
4310902284_RD2,2009-12-15,,C,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231903
USA/IN/2009-23241,2009-01-01 (2009-01-01 - 2009-04-06),,C,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240514
EV-D68/Homosapiens/USA/U2221/2008,2008-10-15,,C,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255371
USA/IN/2009-23228,2009-01-01 (2009-01-01 - 2009-03-11),,C,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240504
USA/IN/2009-23240,2009-01-29 (2009-01-01 - 2009-05-03),,C,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240513
EV-D68/Homosapiens/USA/U2215/2008,2008-10-28,,C,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255366
CAN10-52,2010-01-01 (2010-01-01 - 2010-03-07),,C,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455288
EV-D68/Homosapiens/USA/C6840/2009,2009-09-15,,C,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255408
EV-D68/Homosapiens/USA/MO68/2009,2009-10-05,,C,USA,North America,8,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261793
EV-D68/Homosapiens/USA/MO93/2009,2009-09-23,,C,USA,North America,0.08,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261814
EV-D68/Homosapiens/USA/MO81/2009,2009-09-17,,C,USA,North America,9,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261810
EV-D68/Homosapiens/USA/MO73/2009,2009-10-17,,C,USA,North America,0.08,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261811
EV-D68/Homosapiens/USA/MO74/2009,2009-10-17,,C,USA,North America,9,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261797
EV-D68/Homosapiens/USA/MO76/2009,2009-08-22,,C,USA,North America,0.58,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261805
JPOC10-404,2010-07-31 (2010-07-05 - 2010-07-31),,C,Japan,Japan Korea,1.67,1-5y,<18y,<18y,,7/15/2019,,"Kaida,A., Kubo,H., Sekiguchi,J., Kohdera,U., Togawa,M., Shiomi,M., Nishigaki,T. and Iritani,N.",AB601885
JPOC10-290,2010-06-30 (2010-06-05 - 2010-06-30),,C,Japan,Japan Korea,0.58,<1y,<18y,<18y,,7/15/2019,,"Kaida,A., Kubo,H., Sekiguchi,J., Kohdera,U., Togawa,M., Shiomi,M., Nishigaki,T. and Iritani,N.",AB601882
JPOC10-378,2010-07-03 (2010-07-01 - 2010-07-31),,C,Japan,Japan Korea,2.83,1-5y,<18y,<18y,,7/15/2019,,"Kaida,A., Kubo,H., Sekiguchi,J., Kohdera,U., Togawa,M., Shiomi,M., Nishigaki,T. and Iritani,N.",AB601883
JPOC10-396,2010-07-31 (2010-07-05 - 2010-07-31),,C,Japan,Japan Korea,4.5,1-5y,<18y,<18y,,7/15/2019,,"Kaida,A., Kubo,H., Sekiguchi,J., Kohdera,U., Togawa,M., Shiomi,M., Nishigaki,T. and Iritani,N.",AB601884
EV-D68/Homosapiens/USA/MO65/2009,2009-09-27,,C,USA,North America,9,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261799
EV-D68/Homosapiens/USA/MO69/2009,2009-10-05,,C,USA,North America,7,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261817
EV-D68/Homosapiens/USA/MO88/2009,2009-09-23,,C,USA,North America,0.92,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261816
EV-D68/Homosapiens/USA/MO75/2009,2009-08-22,,C,USA,North America,6,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261806
EV-D68/Homosapiens/USA/MO77/2009,2009-09-01,,C,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261822
EV-D68/Homosapiens/USA/MO66/2009,2009-09-27,,C,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261826
EV-D68/Homosapiens/USA/MO91/2009,2009-09-24,,C,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261821
EV-D68/Homosapiens/USA/MO87/2009,2009-09-21,,C,USA,North America,1,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261823
USA/WI/2009-23245,2009-12-31 (2009-11-19 - 2009-12-31),,C,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240517
EV-D68/Homosapiens/USA/MO89/2009,2009-09-24,,C,USA,North America,1,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261796
EV-D68/Homosapiens/USA/C6832/2009,2009-09-15,,C,USA,North America,10,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255402
EV-D68/Homosapiens/USA/MO61/2009,2009-09-27,,C,USA,North America,0.25,<1y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261820
EV-D68/Homosapiens/USA/MO72/2009,2009-10-05,,C,USA,North America,4,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261815
EV-D68/Homosapiens/USA/MO92/2009,2009-09-23,,C,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261813
EV-D68/Homosapiens/USA/MO70/2009,2009-10-05,,C,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261795
EV-D68/Homosapiens/USA/MO85/2009,2009-09-17,,C,USA,North America,1.67,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261803
EV-D68/Homosapiens/USA/MO79/2009,2009-09-06,,C,USA,North America,7,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261798
EV-D68/Homosapiens/USA/MO80/2009,2009-09-17,,C,USA,North America,5,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261802
EV-D68/Homosapiens/USA/MO64/2009,2009-09-27,,C,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261808
EV-D68/Homosapiens/USA/MO90/2009,2009-09-24,,C,USA,North America,1.08,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261800
EV-D68/Homosapiens/USA/MO71/2009,2009-10-05,,C,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261812
EV-D68/Homosapiens/USA/MO82/2009,2009-09-17,,C,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261801
EV-D68/Homosapiens/USA/MO83/2009,2009-09-17,,C,USA,North America,5,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261809
EV-D68/Homosapiens/USA/MO84/2009,2009-09-17,,C,USA,North America,2,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261819
EV-D68/Homosapiens/USA/MO63/2009,2009-09-27,,C,USA,North America,17,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261794
EV-D68/Homosapiens/USA/MO86/2009,2009-09-17,,C,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261818
EV-D68/Homosapiens/USA/MO62/2009,2009-09-27,,C,USA,North America,4,1-5y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.",KX261807
USA/TX/2002-23222,2002-02-20 (2002-01-01 - 2002-12-31),,,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240498
BCH824A,2008-06-13,,B,China,China,,,<18y,<18y,,7/15/2019,,"Xiang,Z. and Wang,J.",KT285484
1-I8/TW/2008,2008-04-24,,B,Taiwan,China,4,1-5y,<18y,<18y,,7/15/2019,,"Chien,Y.S. and Lee,M.S.",KT318494
4310900947_RD2,2009-07-24,,B2,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231897
4310900947_RD3,2009-07-24,,B2,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231898
4310902042_RD2,2009-11-16,,B2,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231901
4310902042_RD3,2009-11-16,,B2,Netherlands,Europe,,,,,,7/15/2019,,"Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.",KT231902
EV-D68/Homosapiens/USA/C7413/2012,2012-10-17,,B2,USA,North America,11,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.",KX433164
EV-D68/Homosapiens/USA/O270a/2012,2012-08-28,,B2,USA,North America,8,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255401
CAN11-97,2011-12-18 (2011-01-01 - 2011-12-31),,B2,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455287
EV-D68/Homosapiens/USA/O418a/2012,2012-09-15,,B2,USA,North America,7,6-17y,<18y,<18y,,7/15/2019,,"Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.",KX255394
CAN14-344,2014-11-27 (2014-09-26 - 2014-12-31),,B2,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455284
CAN14-683,2014-09-16 (2014-07-22 - 2014-11-20),,B2,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455283
CAN14-183,2014-11-01 (2014-09-11 - 2014-12-29),,B2,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455281
EV-D68/Homosapiens/USA/SSENT32/2014,2014-09-24,,B2,USA,North America,6,6-17y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351807
CAN14-547,2014-10-08 (2014-08-25 - 2014-12-05),,B2,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455282
EV-D68/Homosapiens/USA/SSENT30/2014,2014-09-23,,B2,USA,North America,5,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351799
CAN14-459,2014-04-10 (2014-01-01 - 2014-12-31),,B2,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455286
EV-D68/Homosapiens/USA/SSENT20/2014,2014-09-17,,B2,USA,North America,4,1-5y,<18y,<18y,,,,"Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Smole,S.",KX351818
NYS14_32132,2014-12-18 (2014-10-11 - 2014-12-31),,B2,USA,North America,,,,,,7/15/2019,,"Lamson,D.M., Fagan,S. and St. George,K.",KT455429
USA/PA/2014-19035,2014-09-02,,B2,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995537
US/CA/14-4231,2014-12-31 (2014-11-17 - 2014-12-31),,B2,USA,North America,,,,,,7/15/2019,,"Hixon,A., Yu,G., Tyler,K. and Chiu,C.Y.",KU844181
NY73,2014-09-25,,B2,USA,North America,3,1-5y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745768
NY74,2014-09-25,,B2,USA,North America,4,1-5y,<18y,<18y,,7/15/2019,,"Huang,W., Wang,G., Zhuge,J., Nolan,S.M., Dimitrova,N. and Fallon,J.T.",KP745769
NYS14_28173,2014-10-05 (2014-09-09 - 2014-11-21),,B2,USA,North America,,,,,,7/15/2019,,"Lamson,D.M., Fagan,S. and St. George,K.",KT455422
US/IL/14-18952,2014-08-01 (2014-08-01 - 2014-08-26),,B2,USA,North America,,,,,,7/15/2019,,"Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.",KM851230
US/KY/14-18951,2014-08-31 (2014-08-08 - 2014-08-31),,B2,USA,North America,,,,,,7/15/2019,,"Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.",KM851229
USA/ID/2014-19068,2014-09-08,,B2,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995555
USA/CO/2014-19030,2014-08-31,,B2,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KU669048
USA/ID/2014-19224,2014-09-04 (2014-07-14 - 2014-11-26),,B2,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995588
USA/UT/2014-19195,2014-08-18,,B2,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995561
USA/OR/2014-19269,2014-12-29,,B2,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KU669039
USA/WY/2014-19051,2014-09-11,,B2,USA,North America,,,,,,7/15/2019,,"Ng,T.F.F., Montmayeur,A., Chern,S.-W., Maher,K., Rogers,S., Castro,C., Oberste,S. and Nix,A.",KT995601
EV68_Alberta17789_2014,2014-09-02,,B2,Canada,North America,,,,,,7/15/2019,,"Pabbaraju,K., Wong,S., Zarra,D., Gill,K., Drews,S., Tipples,G. and Tellier,R.",KP114665
CAN14-235,2014-09-02 (2014-08-18 - 2014-10-07),,B2,Canada,North America,,,,,,7/15/2019,,"McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.",KP455285
