strain,date,country,division,url,author,accession
LIBR10050,10/1/2014,Liberia,Liberia,,Ladner et al,KT725270
LIBR10061,9/23/2014,Liberia,Montserrado,,Ladner et al,KT725376
EM_074822,8/17/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817128
EM_075932,10/10/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817139
EM_076217,10/19/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817144
LIBR10055,9/23/2014,Liberia,Bomi,,Ladner et al,KT725340
EM_078683,12/11/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817170
EM_076403,10/27/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817149
EM_076472,10/29/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817150
EM_004259,12/26/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817094
EM_078763,12/17/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817176
EM_004201,12/24/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817093
EM_004422,1/2/2015,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817097
EM_004438,1/4/2015,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817099
EM_004059,12/20/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817090
EM_078706,12/15/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817173
EM_004414,1/2/2015,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817096
EM_004437,1/4/2015,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817098
EM_078722,12/16/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817175
EM_078779,12/18/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817177
EM_078694,12/14/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817171
EM_004085,12/19/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817091
EM_004290,12/27/2014,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817095
EM_074548,8/8/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817123
EM_075373,8/30/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817132
EM_075447,8/31/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817134
Conakry_645,8/14/2014,Guinea,Macenta,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534513
V1480,10/15/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534561
V768,8/27/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534588
EM_075930,10/10/2014,Guinea,Beyla,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817137
EM_075929,10/10/2014,Guinea,Beyla,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817136
EM_075931,10/10/2014,Guinea,Beyla,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817138
Makona-Mali-DPR1,10/23/2014,Guinea,Guinea,,Hoenen et al,KP260799
EM_075928,10/10/2014,Guinea,Beyla,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817135
V1491,10/16/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534576
EM_076334,10/23/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817146
EM_076335,10/23/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817147
EM_078556,12/1/2014,Guinea,Kankan,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817163
EM_078656,12/9/2014,Guinea,Kouroussa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817168
EM_076383,10/26/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817148
EM_076192,10/18/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817142
EM_076191,10/18/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817141
V1481,10/15/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534575
EM_078639,12/4/2014,Guinea,Kankan,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817166
EM_078670,12/11/2014,Guinea,Kankan,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817169
V1394,10/11/2014,Guinea,Coyah,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534557
EM_078638,12/3/2014,Guinea,Kankan,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817165
EM_078415,11/24/2014,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817160
EM_078416,11/24/2014,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817161
EM_004481,1/11/2015,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817100
EM_004494,1/14/2015,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817101
LIBR10118,8/24/2014,Liberia,Montserrado,,Ladner et al,KT725364
LIBR10031,8/16/2014,Liberia,Margibi,,Ladner et al,KT725278
LIBR0229,11/17/2014,Liberia,Grand Bassa,,Ladner et al,KT725333
LIBR10008,8/21/2014,Liberia,Liberia,,Ladner et al,KT725316
LIBR10212,9/19/2014,Liberia,Liberia,,Ladner et al,KT725373
LIBR11177,10/5/2014,Liberia,Margibi,,Ladner et al,KT725358
LIBR10077,8/26/2014,Liberia,Margibi,,Ladner et al,KT725326
LIBR10020,8/18/2014,Liberia,Liberia,,Ladner et al,KT725292
LIBR10132,9/8/2014,Liberia,Margibi,,Ladner et al,KT725255
LIBR10255,10/2/2014,Liberia,Bong,,Ladner et al,KT725269
LIBR10253,9/16/2014,Liberia,Margibi,,Ladner et al,KT725282
LIBR10254,10/2/2014,Liberia,Liberia,,Ladner et al,KT725268
LIBR0157,11/13/2014,Liberia,Gbarpolu,,Ladner et al,KT725393
LIBR10082,8/26/2014,Liberia,Margibi,,Ladner et al,KT725300
EM_074353,7/22/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817112
EM_074350,7/22/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817109
EM_074349,7/22/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817108
EM_080261,7/12/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817243
EM_074392,7/25/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817115
EM_074391,7/26/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817114
EM_074352,7/22/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817111
EM_074351,7/22/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817110
EM_076770,11/8/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817156
EM_074684,8/14/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817124
EM_078709,12/14/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817174
EM_078697,12/14/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817172
EM_076948,11/13/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817157
EM_076769,11/8/2014,Guinea,Kerouane,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817155
EM_076949,11/13/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817158
EM_000921,9/29/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817081
EM_000968,10/1/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817085
EM_078555,12/1/2014,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817162
EM_004192,12/22/2014,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817092
EM_004563,1/25/2015,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817104
EM_004555,1/22/2015,Guinea,Kissidougou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817103
EM_004503,1/15/2015,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817102
EM_004580,1/27/2015,Guinea,Faranah,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817105
EM_075368,8/29/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817131
EM_079388,7/30/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817178
EM_000321,9/9/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817074
EM_076138,10/17/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817140
EM_000028,9/1/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817069
EM_000127,9/4/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817070
EM_000218,9/7/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817072
EM_074785,8/16/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817126
EM_000027,9/1/2014,Guinea,Guinea,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817068
EM_001101,10/5/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817088
EM_000015,9/1/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817067
EM_076322,10/22/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817145
EM_001102,10/5/2014,Guinea,Lola,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817089
EM_000983,10/1/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817087
V1371,10/10/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534555
EM_076610,11/3/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817153
EM_000925,9/29/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817082
EM_000982,10/1/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817086
EM_078608,12/4/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817164
EM_078654,12/9/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817167
EM_076533,11/1/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817151
EM_076534,11/1/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817152
EM_000501,9/13/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817077
EM_076193,10/18/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817143
EM_076951,11/13/2014,Guinea,Lola,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817159
EM_000502,9/13/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817078
G3682,5/28/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034560
EM098,5/26/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034552
G3677,5/26/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM034556
G3823,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233097
LIBR10127,8/22/2014,Liberia,Bong,,Ladner et al,KT725272
EM_074720,8/14/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817125
LIBR10027,8/16/2014,Liberia,Liberia,,Ladner et al,KT725294
EM_080067,6/20/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817234
EM_080065,6/20/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817232
LIBR10205,9/19/2014,Liberia,Montserrado,,Ladner et al,KT725351
LIBR10078,8/26/2014,Liberia,Grand Bassa,,Ladner et al,KT725297
LIBR10079,8/26/2014,Liberia,Grand Bassa,,Ladner et al,KT725309
EM_074438,8/1/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817118
EM_000219,9/7/2014,Guinea,Macenta,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817073
EM_074436,8/1/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817116
EM_074439,8/1/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817119
EM_074437,8/1/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817117
EM_000706,9/21/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817079
EM_000128,9/4/2014,Guinea,Gueckedou,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817071
G3788,6/14/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233075
G3841,6/17/2014,Sierra Leone,Bo,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233107
G3838.2,6/16/2014,Sierra Leone,Kailahun,,Goba et al,KR105200
G3820,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233094
G3758,6/11/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233062
LIBR10250,6/23/2014,Liberia,Liberia,,Ladner et al,KT725360
G3729,6/7/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233054
G3807,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233084
G3796,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233078
G3786,6/14/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233073
EM_080003,6/14/2014,Sierra Leone,Kailahun,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817228
LIBR10271,8/26/2014,Liberia,Liberia,,Ladner et al,KT725347
EM_075043,8/22/2014,Liberia,Lofa,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817129
LIBR10237,7/11/2014,Liberia,Liberia,,Ladner et al,KT725275
LIBR10222,9/26/2014,Liberia,Grand Bassa,,Ladner et al,KT725305
LIBR0380,11/28/2014,Liberia,Montserrado,,Ladner et al,KT725290
LIBR10202,8/27/2014,Liberia,Montserrado,,Ladner et al,KT725356
V20141241,9/24/2014,Sierra Leone,Port Loko,,Whitmer et al A,KR653300
LIBR0430,12/3/2014,Liberia,Grand Bassa,,Kugelman et al,KR006955
LIBR10265,10/18/2014,Liberia,Liberia,,Ladner et al,KT725312
LIBR10089,8/17/2014,Liberia,Liberia,,Ladner et al,KT725377
EM_080269,7/12/2014,Liberia,Liberia,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817245
LIBR10112,8/20/2014,Liberia,River Gee,,Ladner et al,KT725365
LIBR10037,8/10/2014,Liberia,Liberia,,Ladner et al,KT725311
LIBR0279,11/22/2014,Liberia,Liberia,,Ladner et al,KT725280
LIBR10187,8/19/2014,Liberia,Liberia,,Ladner et al,KT725392
LIBR10054,9/23/2014,Liberia,Bomi,,Kugelman et al,KR006964
LIBR10071,9/20/2014,Liberia,Montserrado,,Ladner et al,KT725308
LIBR10074,9/20/2014,Liberia,Liberia,,Ladner et al,KT725325
LIBR10145,9/20/2014,Liberia,Liberia,,Ladner et al,KT725362
LIBR10195,8/26/2014,Liberia,Liberia,,Ladner et al,KT725264
LIBR10210,9/19/2014,Liberia,Montserrado,,Ladner et al,KT725321
LIBR0605,12/20/2014,Liberia,Montserrado,,Kugelman et al,KR006958
LIBR0423,12/3/2014,Liberia,Montserrado,,Kugelman et al,KR006954
LIBR10052,10/1/2014,Liberia,Liberia,,Ladner et al,KT725258
LIBR10208,9/19/2014,Liberia,Montserrado,,Ladner et al,KT725329
LIBR10307,10/2/2014,Liberia,Montserrado,,Ladner et al,KT725310
LIBR10135,9/7/2014,Liberia,Liberia,,Ladner et al,KT725260
LIBR10209,9/19/2014,Liberia,Montserrado,,Ladner et al,KT725371
LIBR0008,10/31/2014,Liberia,Montserrado,,Ladner et al,KT725313
G3972.1,6/24/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105212
LIBR10029,8/16/2014,Liberia,Margibi,,Ladner et al,KT725348
LIBR0079,11/7/2014,Liberia,Montserrado,,Ladner et al,KT725274
LIBR10025,8/16/2014,Liberia,Margibi,,Ladner et al,KT725315
LIBR10030,8/16/2014,Liberia,Margibi,,Ladner et al,KT725257
LIBR10065,9/21/2014,Liberia,Liberia,,Ladner et al,KT725298
LIBR0993,1/20/2015,Liberia,Montserrado,,Kugelman et al,KR006960
LIBR1195,2/2/2015,Liberia,Margibi,,Kugelman et al,KR006961
LIBR1221,2/4/2015,Liberia,Montserrado,,Ladner et al,KT725384
LIBR1413,2/14/2015,Liberia,Montserrado,,Kugelman et al,KR006962
V201403007,8/3/2014,Liberia,Liberia,,Albarino et al (https://www.ncbi.nlm.nih.gov/pubmed/26122472),KP178538
LIBR10088,8/26/2014,Liberia,Montserrado,,Ladner et al,KT725349
LIBR10086,8/26/2014,Liberia,Margibi,,Ladner et al,KT725381
LIBR10087,8/26/2014,Liberia,Margibi,,Ladner et al,KT725346
LIBR0173,11/14/2014,Liberia,Montserrado,,Kugelman et al,KR006950
LIBR10241,6/25/2014,Liberia,Liberia,,Ladner et al,KT725262
LIBR0707,12/29/2014,Liberia,Montserrado,,Ladner et al,KT725366
LIBR10060,9/23/2014,Liberia,Montserrado,,Ladner et al,KT725357
LIBR10170,8/17/2014,Liberia,Montserrado,,Ladner et al,KT725350
LIBR10180,10/11/2014,Liberia,Montserrado,,Ladner et al,KT725391
LIBR10277,8/26/2014,Liberia,Margibi,,Ladner et al,KT725369
LIBR10139,9/9/2014,Liberia,Liberia,,Ladner et al,KT725265
EM_000958,9/30/2014,Guinea,Nzerekore,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817084
LIBR10056,9/23/2014,Liberia,Margibi,,Ladner et al,KT725276
Makona-201403261,9/26/2014,Liberia,Liberia,,Whitmer et al B,KP240932
LIBR10053,10/1/2014,Liberia,Liberia,,Kugelman et al,KR006963
LIBR0090,11/8/2014,Liberia,Margibi,,Kugelman et al,KR006945
LIBR10113,8/20/2014,Liberia,Liberia,,Ladner et al,KT725367
LIBR10106,8/20/2014,Liberia,Nimba,,Ladner et al,KT725337
LIBR10168,9/20/2014,Liberia,Liberia,,Ladner et al,KT725353
LIBR10179,10/11/2014,Liberia,Montserrado,,Ladner et al,KT725375
LIBR10051,10/1/2014,Liberia,Liberia,,Ladner et al,KT725368
LIBR10017,8/19/2014,Liberia,Montserrado,,Ladner et al,KT725293
LIBR10081,8/26/2014,Liberia,Margibi,,Ladner et al,KT725339
LIBR10021,8/18/2014,Liberia,Liberia,,Ladner et al,KT725335
LIBR10098,8/17/2014,Liberia,Liberia,,Ladner et al,KT725383
LIBR10033,8/15/2014,Liberia,Nimba,,Ladner et al,KT725386
LIBR10092,8/17/2014,Liberia,Liberia,,Ladner et al,KT725380
LIBR10093,8/17/2014,Liberia,Nimba,,Ladner et al,KT725363
LIBR10072,9/20/2014,Liberia,Montserrado,,Ladner et al,KT725307
LIBR10066,9/20/2014,Liberia,Montserrado,,Ladner et al,KT725379
LIBR10230,9/26/2014,Liberia,Montserrado,,Ladner et al,KT725354
EM_004589,1/31/2015,Guinea,Siguiri,,Carroll et al (https://www.ncbi.nlm.nih.gov/pubmed/26083749),KR817106
G3846,6/18/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233109
G3724,6/5/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233053
G4348.1,7/9/2014,Sierra Leone,Kenema,,Goba et al,KR105241
G3949.1,6/24/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105209
G4235.1,7/11/2014,Sierra Leone,Kailahun,,Goba et al,KR105220
G3855.2,6/17/2014,Sierra Leone,Kenema,,Goba et al,KR105203
G3816,6/15/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233090
G3713,6/9/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233050
G3770,6/12/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233069
EM119,6/3/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233042
G5012.3,8/15/2014,Sierra Leone,Western Area,,Goba et al,KR105292
G4382.1,7/16/2014,Sierra Leone,Kenema,,Goba et al,KR105244
G5016.1,8/16/2014,Sierra Leone,Kenema,,Goba et al,KR105293
V653,8/15/2014,Guinea,Conakry,,Simon-Loriere et al (https://www.ncbi.nlm.nih.gov/pubmed/26106863),KR534514
V20141227,9/26/2014,Sierra Leone,Bo,,Whitmer et al A,KR653303
G5644.1,9/11/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105314
V20140254,8/29/2014,Sierra Leone,Bo,,Whitmer et al A,KR653296
G5640.1,9/11/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105313
G5647.1,9/11/2014,Sierra Leone,Sierra Leone,,Goba et al,KR105315
V20140729,9/10/2014,Sierra Leone,Bo,,Whitmer et al A,KR653286
G4415.1,7/18/2014,Sierra Leone,Kenema,,Goba et al,KR105247
G4406.1,7/18/2014,Sierra Leone,Kono,,Goba et al,KR105246
G5059.1,8/18/2014,Sierra Leone,Kenema,,Goba et al,KR105296
G5570.1,9/8/2014,Sierra Leone,Kenema,,Goba et al,KR105310
V20140038,8/23/2014,Sierra Leone,Tonkolili,,Whitmer et al A,KR653267
G4324.1,7/14/2014,Sierra Leone,Kenema,,Goba et al,KR105233
G4325.1,7/14/2014,Sierra Leone,Kenema,,Goba et al,KR105234
G4702.1,8/3/2014,Sierra Leone,Kenema,,Goba et al,KR105265
G4701.1,8/3/2014,Sierra Leone,Kenema,,Goba et al,KR105264
G4345.1,7/18/2014,Sierra Leone,Kenema,,Goba et al,KR105239
G3856,6/18/2014,Sierra Leone,Kenema,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233113
G4389.1,7/16/2014,Sierra Leone,Kenema,,Goba et al,KR105245
G4316.1,7/13/2014,Sierra Leone,Kenema,,Goba et al,KR105231
G4422.1,7/19/2014,Sierra Leone,Kenema,,Goba et al,KR105250
G4350.1,7/14/2014,Sierra Leone,Kenema,,Goba et al,KR105242
G4380.1,7/15/2014,Sierra Leone,Kenema,,Goba et al,KR105243
G4312.2,7/12/2014,Sierra Leone,Port Loko,,Goba et al,KR105230
V20140910,9/18/2014,Sierra Leone,Kenema,,Whitmer et al A,KR653269
G5370.1,8/28/2014,Sierra Leone,Kenema,,Goba et al,KR105306
G4856.1,8/10/2014,Sierra Leone,Kenema,,Goba et al,KR105273
G4942.1,8/12/2014,Sierra Leone,Moyamba,,Goba et al,KR105279
G4971.1,8/14/2014,Sierra Leone,Kenema,,Goba et al,KR105284
G4960.1,8/14/2014,Sierra Leone,Kenema,,Goba et al,KR105283
G4937.1,8/13/2014,Sierra Leone,Kenema,,Goba et al,KR105278
G4946.1,8/13/2014,Sierra Leone,Kenema,,Goba et al,KR105280
G4907.1,8/12/2014,Sierra Leone,Kenema,,Goba et al,KR105277
V20140008,8/22/2014,Sierra Leone,Kenema,,Whitmer et al A,KR653251
G4886.1,8/11/2014,Sierra Leone,Kenema,,Goba et al,KR105276
Makona-UK1.1,8/25/2014,Sierra Leone,Kenema,,Bell et al A,KP184503
G3926.2,6/22/2014,Sierra Leone,Kailahun,,Goba et al,KR105208
G3707,5/31/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233049
NM042,6/4/2014,Sierra Leone,Kambia,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233116
G3765,6/14/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233064
G3764,6/12/2014,Sierra Leone,Sierra Leone,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233063
EM115,6/3/2014,Sierra Leone,Kailahun,,Gire et al (https://www.ncbi.nlm.nih.gov/pubmed/25214632),KM233041
