strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,accession,host,mutational_fitness,pango_lineage,recency,region,url,author,originating_lab,submitting_lab,logistic_growth
England/NORT-292A30/2020,5/22/2020,1,20B,United Kingdom,,England,20B,202021,OA965794,Homo sapiens,0.02,B.1.1.372,Older,Europe,,Duncan et al,"NU-OMICS DNA Sequencing research facility, Northumbria University",Wellcome Sanger Institute,
PER/cov001/2020,4/1/2020,1,20D,Peru,,Peru,20D,202014,MW023935,Homo sapiens,0.04,B.1.1.1,Older,South America,,Juscamayta et al F,,,
PER/covper047/2020,5/6/2020,1,20D,Peru,,Peru,20D,202019,MW030278,Homo sapiens,0.04,C.13,Older,South America,,Juscamayta et al G,,,
PER/covper049/2020,4/1/2020,1,20D,Peru,,Peru,20D,202014,MW030193,Homo sapiens,0.04,C.14,Older,South America,,Juscamayta et al H,,,
PER/CoV-19_HRL-239/2020,4/10/2020,1,20D,Peru,,Lambayeque,20D,202015,MW185826,Homo sapiens,0.04,C.14,Older,South America,,Aguilar Gamboa et al A,,,
PER/CoV-19_HRL-223/2020,4/8/2020,1,20D,Peru,,Lambayeque,20D,202015,MW185824,Homo sapiens,0.04,C.14,Older,South America,,Aguilar Gamboa et al B,,,
PER/covper007/2020,6/30/2020,1,20D,Peru,,Peru,20D,202027,MW030238,Homo sapiens,0.04,C.14,Older,South America,,Juscamayta et al I,,,
ARG/210615-23/2021,6/14/2021,7,21G (Lambda),Argentina,,Argentina,21G (Lambda),202124,OL989096,Homo sapiens,0.51,C.37,3-7 days ago,South America,,Zhao et al D,,,
CHL/AR-UFRO-0006/2021,8/6/2021,7,21G (Lambda),Chile,,Chile,21G (Lambda),202131,OM146079,Homo sapiens,0.49,C.37,One month ago,South America,,Leyton-Carcaman et al E,,,
Feliscatus/PER/UPCH_sc2_cat3/2021,5/2/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202118,MZ496616,Felis catus,0.49,C.37,Older,South America,,Schiaffino et al A,,,
PER/CF01700-SW-V0101/2021,8/4/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202131,OL623674,Homo sapiens,0.5,C.37,Older,South America,,Woodard et al A,,,
PER/un-CDC-4051688-001/2021,2/16/2021,8,21G (Lambda),Peru,,Peru,21G (Lambda),202107,MW938101,Homo sapiens,0.5,C.37,Older,South America,,Li et al C,,,
PER/UPCH_cov0462/2021,3/8/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202110,MZ275297,Homo sapiens,0.5,C.37,Older,South America,,Romero et al A,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",Universidad Peruana Cayetano Heredia,
PER/UPCH_cov0468/2021,3/8/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202110,MZ275301,Homo sapiens,0.51,C.37,Older,South America,,Romero et al B,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",Universidad Peruana Cayetano Heredia,
PER/un-CDC-4051677-001/2021,1/20/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202103,MW938095,Homo sapiens,0.5,C.37,Older,South America,,Li et al D,,,
PER/UPCH_cov0460/2021,2/17/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202107,MZ275295,Homo sapiens,0.52,C.37,Older,South America,,Romero et al C,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",Universidad Peruana Cayetano Heredia,
Feliscatus/PER/UPCH_sc2_cat1/2021,3/26/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202112,MZ496614,Felis catus,0.48,C.37,Older,South America,,Schiaffino et al B,,,
PER/CF00700-SW-V0101/2021,8/4/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202131,OL622098,Homo sapiens,0.48,C.37,Older,South America,,Woodard et al B,,,
PER/un-CDC-4051673-001/2021,1/22/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202103,MW938093,Homo sapiens,0.51,C.37,Older,South America,,Li et al E,,,
PER/UPCH_cov0438/2021,1/30/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202104,MZ275290,Homo sapiens,0.48,C.37,Older,South America,,Romero et al D,"Laboratorio de Referencia Nacional de Virus Respiratorios, Instituto Nacional de Salud Peru",Universidad Peruana Cayetano Heredia,
PER/UPCH_cov0449/2021,3/1/2021,9,21G (Lambda),Peru,,Peru,21G (Lambda),202109,MZ275292,Homo sapiens,0.5,C.37,Older,South America,,Romero et al E,"Instituto de Medicina Tropical Alexander Von Humboldt, Universidad Peruana Cayetano Heredia",Universidad Peruana Cayetano Heredia,
PER/un-CDC-4051692-001/2021,2/20/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202107,MW938103,Homo sapiens,0.51,C.37,Older,South America,,Li et al F,,,
PER/CF00200-SW-V0101/2021,8/4/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202131,OL622102,Homo sapiens,0.5,C.37,Older,South America,,Woodard et al C,,,
PER/CF00201-SW-V0401/2021,8/4/2021,7,21G (Lambda),Peru,,Peru,21G (Lambda),202131,OL623705,Homo sapiens,0.5,C.37,Older,South America,,Woodard et al D,,,
NZL/21MV0266/2021,4/1/2021,7,20D,New Zealand,,New Zealand,20D,202113,OK433645,Homo sapiens,0.51,C.36.3,Older,Oceania,,Ren et al AO,LabPLUS,Institute of Environmental Science and Research,
EGY/Egypt-Army-Thirdwave-317/2021,4/25/2021,4,20D,Egypt,,Egypt,20D,202117,MZ087808,Homo sapiens,0.34,C.36,Older,Africa,,Seadawy et al B,,,
EGY/CUNCI-HGC11I039/2021,1/3/2021,2,20D,Egypt,,Egypt,20D,202101,MW548233,Homo sapiens,0.06,C.36,Older,Africa,,Zekri et al B,,,
EGY/EGY-ARMY-MCL002/2020,11/19/2020,2,20D,Egypt,,Egypt,20D,202047,MW547413,Homo sapiens,0.08,C.36,Older,Africa,,Seadawy et al C,,,
EGY/CUNCI-HGC10I002/2020,12/25/2020,2,20D,Egypt,,Egypt,20D,202052,MW504766,Homo sapiens,0.07,C.36,Older,Africa,,Zekri et al C,,,
PER/un-CDC-4033267-001/2020,9/15/2020,2,20D,Peru,,Peru,20D,202038,MZ323732,Homo sapiens,0.02,B.1.1.1,Older,South America,,Kelleher et al A,,,
HG994484,2/22/2021,2,20D,France,,Hauts de France,20D,202108,HG994484,Homo sapiens,0.14,C.16,Older,Europe,,Derhourhi et al,"Synlab, Haut-de-France",UMR 1283/8199,
SouthAfrica/NHLS-UCT-GS-0606/2020,10/19/2020,1,20D,South Africa,,South Africa,20D,202043,OM725372,Homo sapiens,0.07,C.1,One week ago,Africa,,Tegally et al B,,,
SouthAfrica/NHLS-UCT-GS-AE86/2021,10/26/2021,13,20D,South Africa,,South Africa,20D,202143,OM739874,Homo sapiens,0.72,B.1.1.33,One week ago,Africa,,Viana et al F,,,
PER/un-CDC-3958462-001/2020,8/15/2020,1,20D,Peru,,Peru,20D,202033,MZ323726,Homo sapiens,0.01,B.1.1.1,Older,South America,,Kelleher et al B,,,
PER/un-CDC-3959175-001/2020,8/21/2020,1,20D,Peru,,Peru,20D,202034,MZ323731,Homo sapiens,0.03,B.1.1.1,Older,South America,,Kelleher et al C,,,
PER/covper018/2020,7/3/2020,1,20D,Peru,,Peru,20D,202027,MW030249,Homo sapiens,0.04,C.4,Older,South America,,Juscamayta et al J,,,
PER/un-CDC-4051669-001/2021,1/18/2021,3,20D,Peru,,Peru,20D,202103,MW938090,Homo sapiens,0.1,C.4,Older,South America,,Li et al G,,,
PER/covper029/2020,5/2/2020,1,20D,Peru,,Peru,20D,202018,MW030260,Homo sapiens,0.04,B.1.1.1,Older,South America,,Juscamayta et al K,,,
PER/un-CDC-3958043-001/2020,8/20/2020,1,20D,Peru,,Peru,20D,202034,MZ323729,Homo sapiens,0.03,B.1.1.1,Older,South America,,Kelleher et al D,,,
PER/un-CDC-4033329-001/2020,10/5/2020,1,20D,Peru,,Peru,20D,202041,MZ323733,Homo sapiens,0.03,B.1.1.1,Older,South America,,Kelleher et al E,,,
PER/un-CDC-4033364-001/2020,10/15/2020,1,20D,Peru,,Peru,20D,202042,MZ323735,Homo sapiens,0.03,B.1.1.1,Older,South America,,Kelleher et al F,,,
CHL/Santiago-5092651/2020,6/8/2020,1,20D,Chile,,Chile,20D,202024,MW672620,Homo sapiens,0.04,C.26,Older,South America,,Barriga et al C,,,
SRB/KV-0376-25-07/2020,7/24/2020,1,20D,Serbia,,Serbia,20D,202030,MW127527,Homo sapiens,0.06,C.35,Older,Europe,,Vidanovic et al B,,,
NZL/20VR3879/2020,7/23/2020,1,20D,New Zealand,,Auckland,20D,202030,OK426767,Homo sapiens,0.04,B.1.1,Older,Oceania,,Ren et al AP,Middlemore Hospital,Institute of Environmental Science and Research,
SRB/SA00002-05-08/2020,8/4/2020,1,20D,Serbia,,Sabac,20D,202032,MW485246,Homo sapiens,0.04,C.35,Older,Europe,,Vidanovic et al C,,,
SRB/NS21228-25-06/2020,6/24/2020,1,20D,Serbia,,South Bačka District,20D,202026,MW327520,Homo sapiens,0.04,C.35,Older,Europe,,Vidanovic et al D,,,
Estonia/Cov3262/2020,11/9/2020,1,20D,Estonia,,Estonia,20D,202046,OU278478,Homo sapiens,0.03,B.1,Older,Europe,,Avi et al A,,"Institute of Biomedicine and Translational Medicine, University of Tartu",
EGY/CCHE57357_W3_A139/2021,6/3/2021,1,20D,Egypt,,Egypt,20D,202122,OK001930,Homo sapiens,0.19,C.38,Older,Africa,,Hatem et al B,,,
PAK/IoM-I/2021,1/7/2021,1,20D,Pakistan,,Pakistan,20D,202101,MZ348899,Homo sapiens,0.06,C.23,Older,Asia,,Yaqub et al,,,
PER/un-CDC-3958735-001/2020,9/10/2020,1,20D,Peru,,Peru,20D,202037,MZ323730,Homo sapiens,0.04,B.1.1.1,Older,South America,,Kelleher et al G,,,
NZL/20CV0079/2020,8/14/2020,1,20D,New Zealand,,Canterbury,20D,202033,OK426613,Homo sapiens,0.06,C.12,Older,Oceania,,Ren et al AQ,Canterbury Health Laboratories,Institute of Environmental Science and Research,
NZL/20CV0241/2020,9/6/2020,1,20D,New Zealand,,Auckland,20D,202037,OK426674,Homo sapiens,0.03,C.12,Older,Oceania,,Ren et al AR,North Shore Hospital,Institute of Environmental Science and Research,
NZL/20CV0170/2020,8/25/2020,1,20D,New Zealand,,Auckland,20D,202035,OK427164,Homo sapiens,0.04,C.12,Older,Oceania,,Ren et al AS,LabPLUS,Institute of Environmental Science and Research,
NZL/20CV0230/2020,9/5/2020,1,20D,New Zealand,,Auckland,20D,202036,OK426807,Homo sapiens,0.04,C.12,Older,Oceania,,Ren et al AT,LabPLUS,Institute of Environmental Science and Research,
NZL/20CV0089/2020,8/17/2020,1,20D,New Zealand,,Auckland,20D,202034,OK426923,Homo sapiens,0.04,B.1,Older,Oceania,,Ren et al AU,LabPLUS,Institute of Environmental Science and Research,
NZL/20VR3919/2020,8/13/2020,1,20D,New Zealand,,Waikato,20D,202033,OK426982,Homo sapiens,0.04,C.12,Older,Oceania,,Ren et al AV,Waikato Hospital,Institute of Environmental Science and Research,
NZL/20VR3920/2020,8/13/2020,1,20D,New Zealand,,Waikato,20D,202033,OK426621,Homo sapiens,0.04,C.12,Older,Oceania,,Ren et al AW,Waikato Hospital,Institute of Environmental Science and Research,
BHR/090000572_S16_L001/2020,5/31/2020,1,20B,Bahrain,,Bahrain,20B,202023,MW228280,Homo sapiens,0.02,B.1.1.306,Older,Asia,,AlWasti et al D,,,
CAN/HCW12/2020,6/2/2020,1,20B,Canada,,Canada,20B,202023,OM540794,Homo sapiens,0.07,B.1.1,One month ago,North America,,Benoit et al A,,,
England/MILK-82E3ED/2020,7/16/2020,2,20B,United Kingdom,,England,20B,202029,OA979339,Homo sapiens,0.03,B.1.1.325,Older,Europe,,The Lighthouse Lab in Milton et al A,Lighthouse Lab in Milton Keynes,Wellcome Sanger Institute,
BGD/GRBL_S11/2020,9/5/2020,2,20B,Bangladesh,,Dhaka,20B,202036,MW532100,Homo sapiens,0.08,B.1.1.25,Older,Asia,,Jamiruddin et al A,Nihad Adnan,Gonoshasthaya-RNA Molecular Diagnostics and Research Center,
PER/un-CDC-4033331-001/2020,10/5/2020,2,20B,Peru,,Peru,20B,202041,MZ323734,Homo sapiens,0.01,B.1,Older,South America,,Kelleher et al H,,,
SRB/NS20954-25-06/2020,6/24/2020,1,20B,Serbia,,Serbia,20B,202026,MW316741,Homo sapiens,0.02,B.1.1.70,Older,Europe,,Vidanovic et al E,,,
SRB/NS19702-16-06/2020,6/15/2020,1,20B,Serbia,,Serbia,20B,202025,MW315969,Homo sapiens,0.01,B.1.1.70,Older,Europe,,Vidanovic et al F,,,
SRB/KV14/2020,7/6/2020,2,20B,Serbia,,Serbia,20B,202028,MW012273,Homo sapiens,0,B.1.1.70,Older,Europe,,Vidanovic et al G,,,
PER/covper063/2020,3/17/2020,1,20B,Peru,,Peru,20B,202012,MW030203,Homo sapiens,0.01,B.1.1,Older,South America,,Juscamayta et al L,,,
KEN/C6958/2020,5/13/2020,1,20B,Kenya,,Kenya,20B,202020,MW751295,Homo sapiens,0.01,B.1.1,Older,Africa,,Githinji et al J,,,
BRA/MT21774/2020,7/12/2020,1,20B,Brazil,,Mato Grosso,20B,202029,MW962307,Homo sapiens,0.06,B.1.1.28,Older,South America,,Ferreira et al B,,,
BRA/684/2020,12/17/2020,3,20B,Brazil,,Brazil,20B,202051,MZ397161,Homo sapiens,0.18,B.1.1.28,Older,South America,,Pylro et al D,,,
LKA/COV53/2020,3/10/2020,1,20B,Sri Lanka,,Sri Lanka,20B,202011,MT371048,Homo sapiens,0.02,B.1.1,Older,Asia,,Jeewandara et al C,,,
GRC/203_33026/2020,3/12/2020,1,20B,Greece,,Athens,20B,202011,MT459871,Homo sapiens,0.02,B.1.1,Older,Europe,,Kassela et al,,,
LR992079,8/23/2020,1,20B,Italy,,Apulia,20B,202035,LR992079,Homo sapiens,0.05,B.1.1.229,Older,Europe,,Chiara et al,"Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari",UNIVERSITY OF MILAN. DEPT. OF BIOSCIENCES,
ISR/NH_M1_0614/2020,6/14/2020,1,20B,Israel,,Israel,20B,202025,MW228070,Homo sapiens,0.02,B.1.1.50,Older,Asia,,Zaide et al B,,,
SYC/G28007/2021,1/3/2021,3,20B,Seychelles,,Seychelles,20B,202101,OK377346,Homo sapiens,0.03,B.1.1.50,Older,Africa,,Githinji et al K,,,
WestBank/AAS44/2021,1/4/2021,2,20B,Palestine,,Ramallah and al-Bireh Governorate,20B,202101,MW600633,Homo sapiens,0.07,B.1.1.50,Older,Asia,,Ereqat et al,,,
GHA/WACCBIP_nCoV_GS14/2020,8/24/2020,1,20B,Ghana,,Ghana,20B,202035,MW523399,Homo sapiens,0.02,B.1.1,Older,Africa,,Ngoi et al D,,,
GAB/7919_Gabon/2020,3/27/2020,1,20B,Gabon,,Gabon,20B,202013,OM731938,Homo sapiens,0.02,B.1.1,One week ago,Africa,,Lekana-Douki et al A,,,
GAB/196L_Gabon/2020,4/20/2020,1,20B,Gabon,,Gabon,20B,202017,OM731983,Homo sapiens,0.02,B.1.1,One week ago,Africa,,Lekana-Douki et al B,,,
GAB/1832-32A_Gabon/2020,5/11/2020,1,20B,Gabon,,Gabon,20B,202020,OM731972,Homo sapiens,0.02,B.1.1,One week ago,Africa,,Lekana-Douki et al C,,,
LR963435,4/1/2020,1,20B,Zimbabwe,,Zimbabwe,20B,202014,LR963435,Homo sapiens,0.02,B.1.1,Older,Africa,,Alikhan et al C,National Microbiology Reference Laboratory,Quadram Institute Bioscience,
AUS/NT41/2020,5/1/2020,1,20B,Australia,,Northern Territory,20B,202018,MT612187,Homo sapiens,0.02,B.1.1.10,Older,Oceania,,Caly et al L,Royal Darwin Hospital Pathology,The Peter Doherty Institute for Infection and Immunity,
Estonia/Cov0720/2020,9/28/2020,1,20B,Estonia,,Estonia,20B,202040,OU277737,Homo sapiens,0.06,B.1.1.10,Older,Europe,,Avi et al B,,"Institute of Biomedicine and Translational Medicine, University of Tartu",
TGO/nmimr-TG-SARS-CoV-2-TGS-015-21/2020,12/22/2020,2,20B,Togo,,Togo,20B,202052,MZ149969,Homo sapiens,0.09,L.3,Older,Africa,,Halatoko et al A,,,
GAB/12388_Gabon/2021,2/4/2021,3,20B,Gabon,,Gabon,20B,202105,OM732005,Homo sapiens,0.09,L.3,One week ago,Africa,,Lekana-Douki et al D,,,
VEN/11MZ/2020,5/23/2020,1,20B,Venezuela,,Venezuela,20B,202021,MT907518,Homo sapiens,0.03,B.1.1,Older,South America,,Loureiro et al E,,,
PER/un-CDC-4051689-001/2021,2/16/2021,1,20B,Peru,,Peru,20B,202107,MW938102,Homo sapiens,0.18,B.1.1.348,Older,South America,,Li et al H,,,
ARM/UW-ARM1/2020,7/28/2020,2,20B,Armenia,,Armenia,20B,202031,MZ230685,Homo sapiens,0.03,B.1.1,Older,Asia,,Roychoudhury et al B,,,
ARM/IMB1-1/2021,1/19/2021,1,20B,Armenia,,Armenia,20B,202103,MZ577122,Homo sapiens,0.17,B.1.1.163,Older,Asia,,Pavitra et al,,,
BGD/BCSIR_NILMRC_339/2020,7/15/2020,1,20B,Bangladesh,,Bangladesh,20B,202029,MT846009,Homo sapiens,0.03,B.1.1.25,Older,Asia,,Sarkar et al A,,,
BGD/GRBL_S10/2020,10/17/2020,2,20B,Bangladesh,,Dhaka,20B,202042,MW532099,Homo sapiens,0.04,B.1.1.25,Older,Asia,,Jamiruddin et al B,Mohd. Raeed Jamiruddin,Gonoshasthaya-RNA Molecular Diagnostics and Research Center,
NGA/BCVL-25657/2021,4/14/2021,5,20B,Nigeria,,Oyo State,20B,202115,OL601855,Homo sapiens,0.45,B.1.1.318,Older,Africa,,Lorenzo-Redondo et al A,,,
GAB/5475_Gabon/2021,5/21/2021,5,20B,Gabon,,Gabon,20B,202120,OM732138,Homo sapiens,0.49,B.1.1.318,One week ago,Africa,,Lekana-Douki et al E,,,
GAB/4721_Gabon/2021,4/6/2021,6,20B,Gabon,,Gabon,20B,202114,OM732084,Homo sapiens,0.54,B.1.1.318,One week ago,Africa,,Lekana-Douki et al F,,,
GAB/6788_Gabon/2021,7/8/2021,6,20B,Gabon,,Gabon,20B,202127,OM732189,Homo sapiens,0.54,B.1.1.318,One week ago,Africa,,Lekana-Douki et al G,,,
USA/SD-UW-859/2020,7/9/2020,1,20B,USA,,South Dakota,20B,202028,MT846549,Homo sapiens,0.02,B.1.1.228,Older,North America,,Moreno et al C,,,
GHA/WACCBIP_nCoV_GS03/2020,7/20/2020,1,20B,Ghana,,Ghana,20B,202030,MW523388,Homo sapiens,0.02,B.1.1.359,Older,Africa,,Ngoi et al E,,,
GHA/nmimr-SARS-CoV-2-NTRA-9791/2020,11/13/2020,1,20B,Ghana,,Ghana,20B,202046,MW598434,Homo sapiens,0.07,B.1.1,Older,Africa,,Adu et al B,,,
GAB/4045L_Gabon/2020,7/2/2020,1,20B,Gabon,,Gabon,20B,202027,OM731998,Homo sapiens,0.02,B.1.1.275,One week ago,Africa,,Lekana-Douki et al H,,,
RUS/210129-59/2021,1/16/2021,2,20B,Russia,,Russia,20B,202102,OL989070,Homo sapiens,0.25,B.1.1,3-7 days ago,Europe,,Zhao et al E,,,
BRA/210202-1/2021,2/1/2021,1,20B,Brazil,,Brazil,20B,202105,OL989071,Homo sapiens,0.02,B.1.1,3-7 days ago,South America,,Zhao et al F,,,
CAN/COVID_CRCHUM_Pre_Freeze_2/2020,9/4/2020,1,20B,Canada,,Canada,20B,202036,MW309426,Homo sapiens,0.02,B.1.1.121,Older,North America,,Benoit et al B,,,
CAN/HCW30/2020,10/21/2020,1,20B,Canada,,Canada,20B,202043,OM540765,Homo sapiens,0.02,B.1.1.121,One month ago,North America,,Benoit et al C,,,
HongKong/Case1319/2020,7/8/2020,2,20B,Hong Kong,,Hong Kong,20B,202028,MW181720,Homo sapiens,0.06,B.1.1,Older,Asia,,Siu et al F,,,
JPN/HiroFH32c/2020,12/1/2020,1,20B,Japan,,Japan,20B,202049,OM371066,Homo sapiens,0.08,B.1.1.214,Older,Asia,,Kurose et al B,,,
NGA/BCVL-3625/2020,7/17/2020,3,20B,Nigeria,,Oyo State,20B,202029,OL601640,Homo sapiens,0.08,B.1.1,Older,Africa,,Lorenzo-Redondo et al B,,,
PER/un-CDC-3958248-001/2020,8/19/2020,1,20B,Peru,,Peru,20B,202034,MZ323728,Homo sapiens,0.01,B.1.1,Older,South America,,Kelleher et al I,,,
mink/DK/AD3_Farm1/2020,6/14/2020,2,20B,Denmark,,Denmark,20B,202025,MT919525,Mink,0.02,B.1.1.298,Older,Europe,,Hammer et al A,,,
mink/DK/KL14_Farm1/2020,6/17/2020,1,20B,Denmark,,Denmark,20B,202025,MT919536,Mink,0.02,B.1.1.298,Older,Europe,,Hammer et al B,,,
OU076989,8/24/2020,1,20B,Germany,,North Rhine Westphalia,20B,202035,OU076989,Homo sapiens,0.03,B.1.1.189,Older,Europe,,? A,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",Robert Koch Institute,
Estonia/Cov2351/2020,11/1/2020,1,20B,Estonia,,Estonia,20B,202045,OU278304,Homo sapiens,0.03,B.1,Older,Europe,,Avi et al C,,"Institute of Biomedicine and Translational Medicine, University of Tartu",
Estonia/Cov8670/2021,2/11/2021,1,20B,Estonia,,Estonia,20B,202106,OU278690,Homo sapiens,0.04,B.1.1.429,Older,Europe,,Avi et al D,,"Institute of Biomedicine and Translational Medicine, University of Tartu",
NZL/20CV0281/2020,3/25/2020,1,20B,New Zealand,,Taranaki,20B,202013,OK426679,Homo sapiens,0.02,B.1.1,Older,Oceania,,Ren et al AX,Canterbury Health Laboratories,Institute of Environmental Science and Research,
SLE/KGH-G-8549/2020,3/31/2020,1,20B,Sierra Leone,,Sierra Leone,20B,202014,MT872502,Homo sapiens,0.02,B.1.1,Older,Africa,,Goba et al A,Kenema Government Hospital,Kenema Government Hospital,
CHL/Santiago-PUC_MVL_0442/2020,5/13/2020,1,20B,Chile,,Chile,20B,202020,MW365016,Homo sapiens,0.02,B.1.1,Older,South America,,Direct Submission et al I,,,
CHL/Santiago-5120654/2020,6/8/2020,1,20B,Chile,,Chile,20B,202024,MW672170,Homo sapiens,0.02,B.1.1,Older,South America,,Barriga et al D,,,
NZL/20CV0496/2020,11/1/2020,3,20B,New Zealand,,Canterbury,20B,202045,OK426876,Homo sapiens,0.04,B.1.1,Older,Oceania,,Ren et al AY,Canterbury Health Laboratories,Institute of Environmental Science and Research,
RUS/210306-30/2021,2/27/2021,2,20B,Russia,,Russia,20B,202108,OL989072,Homo sapiens,0.07,B.1.1.336,3-7 days ago,Europe,,Zhao et al G,,,
TWN/CGMH-CGU-40/2020,11/10/2020,2,20B,Taiwan,,Taiwan,20B,202046,MZ020648,Homo sapiens,0.07,B.1.1,Older,Asia,,Tsao et al D,,,
OU026739,2/15/2021,2,20B,Poland,,Slaskie,20B,202107,OU026739,Homo sapiens,0.08,B.1.1.54,Older,Europe,,? E,"Gyncentrum, Sosnowiec, Poland",COVID-HUB-PL,
HongKong/HKPU-00052/2020,7/10/2020,1,20B,Hong Kong,,Hong Kong,20B,202028,MZ266401,Homo sapiens,0.07,B.1.1.63,Older,Asia,,Siu et al G,,,
SAU/KAIMRC-S162/2021,1/4/2021,5,20B,Saudi Arabia,,Riyadh,20B,202101,MZ895663,Homo sapiens,0.18,B.1.1,Older,Asia,,Alghoribi et al B,,,
SAU/KAIMRC-S473/2021,2/14/2021,4,20B,Saudi Arabia,,Riyadh,20B,202107,MZ895698,Homo sapiens,0.18,B.1.1,Older,Asia,,Alghoribi et al C,,,
ARM/UW-ARM2/2020,7/28/2020,1,20B,Armenia,,Armenia,20B,202031,MZ230693,Homo sapiens,0.02,B.1.1,Older,Asia,,Roychoudhury et al C,,,
ARM/UW-ARM21/2020,8/12/2020,2,20B,Armenia,,Armenia,20B,202033,MZ230695,Homo sapiens,0.02,B.1.1,Older,Asia,,Roychoudhury et al D,,,
USA/TX-CDC-LC0008765/2021,1/19/2021,1,20B,USA,,Texas,20B,202103,MW640117,Homo sapiens,0.11,B.1.1.416,Older,North America,,Cook et al D,,,
Mexico/BCN-SEARCH-103034/2020,9/25/2020,1,20B,Mexico,,Baja California,20B,202039,OK549356,Homo sapiens,0.02,B.1.1,Older,North America,,Andersen et al A,"SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)",SEARCH Alliance San Diego,
USA/MD-NIH-00013/2020,7/24/2020,1,20B,USA,,Maryland,20B,202030,MW681010,Homo sapiens,0.02,B.1.1,Older,North America,,Roder et al,,,
RUS/-41/2020,4/21/2020,1,20B,Russia,,Russia,20B,202017,MZ044345,Homo sapiens,0.02,B.1.1,Older,Europe,,Bocharova et al,,,
PER/covper015/2020,7/3/2020,1,20B,Peru,,Peru,20B,202027,MW030246,Homo sapiens,0.02,B.1.1,Older,South America,,Juscamayta et al M,,,
HongKong/Case1166/2020,6/23/2020,1,20B,Hong Kong,,Hong Kong,20B,202026,MW181750,Homo sapiens,0.02,B.1.1,Older,Asia,,Siu et al H,,,
SYC/G9497/2020,10/2/2020,2,20B,Seychelles,,Seychelles,20B,202040,OK377421,Homo sapiens,0.03,B.1.1.277,Older,Africa,,Githinji et al L,,,
TUN/TUN_ADAGE_4761/2020,7/7/2020,1,20B,Tunisia,,Tunisia,20B,202028,MT955172,Homo sapiens,0.05,B.1.1,Older,Africa,,Souissi et al C,,,
OD986986,3/25/2021,1,20B,France,,Hauts de France,20B,202112,OD986986,Homo sapiens,0.05,B.1.1,Older,Europe,,Derhourhi et al,"Synlab, Haut-de-France",UMR 1283/8199,
TUN/TUN-IPT-Q8734/2021,2/20/2021,6,"20I (Alpha, V1)",Tunisia,,Tunisia,"20I (Alpha, V1)",202107,MW721182,Homo sapiens,0.31,B.1.1.7,Older,Africa,,Trabelsi et al B,,,
ESP/hCoV-19_Spain_CT-HUVH-Bellvitge60554_2021/2021,1/19/2021,6,"20I (Alpha, V1)",Spain,,Spain,"20I (Alpha, V1)",202103,MW769733,Homo sapiens,0.44,B.1.1.7,Older,Europe,,Andres et al,,,
USA/GU-CDC-2-4651363/2021,6/26/2021,6,"20I (Alpha, V1)",USA,,Guam,"20I (Alpha, V1)",202125,MZ709097,Homo sapiens,0.42,B.1.1.7,Older,North America,,Sheth et al H,,,
WestBank/AAS47/2021,2/5/2021,6,"20I (Alpha, V1)",Palestine,,Nablus,"20I (Alpha, V1)",202105,MW858235,Homo sapiens,0.5,B.1.1.7,Older,Asia,,Nasereddin et al,,,
Switzerland/BL-ETHZ-551003/2020,3/21/2021,7,"20I (Alpha, V1)",Switzerland,,Basel-Land,"20I (Alpha, V1)",202112,OU181628,Homo sapiens,0.52,B.1.1.7,Older,Europe,,? H,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",ETH ZURICH D-BSSE,
FIN/87HEL-VE6-H10/2020,12/18/2020,6,"20I (Alpha, V1)",Finland,,Finland,"20I (Alpha, V1)",202051,MW717677,Homo sapiens,0.44,B.1.1.7,Older,Europe,,Smura et al B,,,
